class,label,source,target,conversion_factors,nominal_value,min,max,summed_max,actual_value,fixed_costs,variable_costs,fixed,nominal_capacity,capacity_loss,inflow_conversion_factor,outflow_conversion_factor,initial_capacity,capacity_min,capacity_max,balanced
### znes_2050_dpr,,,,,,,,,,,,,,,,,,,,
### transshipment based on e-highway 2050,,,,,,,,,,,,,,,,,,,,
"### Offshore, Onshore, Solar, Biomass, ror, pumped storage DE based on e-highway",,,,,,,,,,,,,,,,,,,,
### further storage based on Cebulla,,,,,,,,,,,,,,,,,,,,
### Onshore in Germany limited by maximum burden level of 0.7: total installed capacity 54142.941 MW,,,,,,,,,,,,,,,,,,,,
### Missing onshore production of 103 Twh replaced with 25.9543646399 GW extra offshore capacity,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### GLOBAL RESOURCES,,,,,,,,,,,,,,,,,,,,
Sink,CZ_excess,CZ_bus_el,CZ_excess,,,,,,,,0.00000001,,,,,,,,,
Source,CZ_shortage,CZ_shortage,CZ_bus_el,,,,,,,,1000,,,,,,,,,
LinearTransformer,CZ_pp_gas,CZ_pp_gas,CZ_bus_el,0.425,1750,,,,,24000,0.5,,,,,,,,,
LinearTransformer,CZ_pp_gas,GL_bus_gas,CZ_pp_gas,,,,,,,,,,,,,,,,,
LinearTransformer,CZ_pp_biomass,CZ_pp_biomass,CZ_bus_el,0.38,5000,,,3004,,29000,3.9,,,,,,,,,
LinearTransformer,CZ_pp_biomass,GL_bus_biomass,CZ_pp_biomass,,,,,,,,,,,,,,,,,
Source,CZ_run_of_river,CZ_run_of_river,CZ_bus_el,,455,,,,0.65,,,TRUE,,,,,,,,
Source,CZ_hydro,CZ_hydro,CZ_bus_el,,819,,,1603,,,,,,,,,,,,
Source,CZ_solar,CZ_solar,CZ_bus_el,,13048,,,,seq,,,TRUE,,,,,,,,
Source,CZ_wind_onshore,CZ_wind_onshore,CZ_bus_el,,10234,,,,seq,,,TRUE,,,,,,,,
Storage,CZ_storage_a_caes,CZ_storage_a_caes,CZ_bus_el,,935.97,,,,,,0,,,,,,,,,
Storage,CZ_storage_a_caes,CZ_bus_el,CZ_storage_a_caes,,935.97,,,,,,0,,2807.91,0,0.837,0.837,0.5,0,1,
Storage,CZ_storage_hydrogen,CZ_storage_hydrogen,CZ_bus_el,,168.9,,,,,,0,,,,,,,,,
Storage,CZ_storage_hydrogen,CZ_bus_el,CZ_storage_hydrogen,,168.9,,,,,,0,,1688.97,0,0.632,0.632,0.5,0,1,
Storage,CZ_storage_lithium_ion,CZ_storage_lithium_ion,CZ_bus_el,,2452.53,,,,,,0,,,,,,,,,
Storage,CZ_storage_lithium_ion,CZ_bus_el,CZ_storage_lithium_ion,,2452.53,,,,,,0,,12262.64,0,0.975,0.975,0.5,0,1,
Storage,CZ_storage_pumped_hydro,CZ_storage_pumped_hydro,CZ_bus_el,,1787,,,,,,0,,,,,,,,,
Storage,CZ_storage_pumped_hydro,CZ_bus_el,CZ_storage_pumped_hydro,,1787,,,,,,0,,39000,0,0.894,0.894,0.5,0,1,
Storage,CZ_storage_redox_flow,CZ_storage_redox_flow,CZ_bus_el,,21.11,,,,,,0,,,,,,,,,
Storage,CZ_storage_redox_flow,CZ_bus_el,CZ_storage_redox_flow,,21.11,,,,,,0,,70.37,0,0.866,0.866,0.5,0,1,
Sink,CZ_load,CZ_bus_el,CZ_load,,12637,,,,seq,,,TRUE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### DE,,,,,,,,,,,,,,,,,,,,
### DEdr01,,,,,,,,,,,,,,,,,,,,
Sink,DEdr01_excess,DEdr01_bus_el,DEdr01_excess,,0.00000001,,,,,,0.00000001,,,,,,,,,
Source,DEdr01_shortage,DEdr01_shortage,DEdr01_bus_el,,,,,,,,1000,,,,,,,,,
LinearTransformer,DEdr01_pp_biomass,DEdr01_pp_biomass,DEdr01_bus_el,0.38,3986.8970381326,,,2514,,29000,3.9,,,,,,,,,
LinearTransformer,DEdr01_pp_biomass,GL_bus_biomass,DEdr01_pp_biomass,,,,,,,,,,,,,,,,,
Source,DEdr01_run_of_river,DEdr01_run_of_river,DEdr01_bus_el,,8.06,,,,0.65,,,TRUE,,,,,,,,
Source,DEdr01_solar,DEdr01_solar,DEdr01_bus_el,,9641.913,,,,seq,,,TRUE,,,,,,,,
Source,DEdr01_wind_onshore,DEdr01_wind_onshore,DEdr01_bus_el,,13774.623,,,,seq,,,TRUE,,,,,,,,
Storage,DEdr01_storage_a_caes,DEdr01_storage_a_caes,DEdr01_bus_el,,492.16,,,,,,0,,,,,,,,,
Storage,DEdr01_storage_a_caes,DEdr01_bus_el,DEdr01_storage_a_caes,,492.16,,,,,,0,,1476.48,0,0.837,0.837,0.5,0,1,
Storage,DEdr01_storage_hydrogen,DEdr01_storage_hydrogen,DEdr01_bus_el,,1598.33,,,,,,0,,,,,,,,,
Storage,DEdr01_storage_hydrogen,DEdr01_bus_el,DEdr01_storage_hydrogen,,1598.33,,,,,,0,,15983.29,0,0.632,0.632,0.5,0,1,
Storage,DEdr01_storage_lithium_ion,DEdr01_storage_lithium_ion,DEdr01_bus_el,,2476.62,,,,,,0,,,,,,,,,
Storage,DEdr01_storage_lithium_ion,DEdr01_bus_el,DEdr01_storage_lithium_ion,,2476.62,,,,,,0,,12383.09,0,0.975,0.975,0.5,0,1,
Storage,DEdr01_storage_redox_flow,DEdr01_storage_redox_flow,DEdr01_bus_el,,147.17,,,,,,0,,,,,,,,,
Storage,DEdr01_storage_redox_flow,DEdr01_bus_el,DEdr01_storage_redox_flow,,147.17,,,,,,0,,490.58,0,0.866,0.866,0.5,0,1,
Sink,DEdr01_load,DEdr01_bus_el,DEdr01_load,,3535.5197030044,,,,seq,,,TRUE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### DEdr02,,,,,,,,,,,,,,,,,,,,
Sink,DEdr02_excess,DEdr02_bus_el,DEdr02_excess,,,,,,,,0.00000001,,,,,,,,,
Source,DEdr02_shortage,DEdr02_shortage,DEdr02_bus_el,,,,,,,,1000,,,,,,,,,
LinearTransformer,DEdr02_pp_biomass,DEdr02_pp_biomass,DEdr02_bus_el,0.38,122.6132948149,,,2514,,29000,3.9,,,,,,,,,
LinearTransformer,DEdr02_pp_biomass,GL_bus_biomass,DEdr02_pp_biomass,,,,,,,,,,,,,,,,,
Source,DEdr02_run_of_river,DEdr02_run_of_river,DEdr02_bus_el,,0.1335023078,,,,0.65,,,TRUE,,,,,,,,
Source,DEdr02_solar,DEdr02_solar,DEdr02_bus_el,,61.5828,,,,seq,,,TRUE,,,,,,,,
Source,DEdr02_wind_onshore,DEdr02_wind_onshore,DEdr02_bus_el,,4.858,,,,seq,,,TRUE,,,,,,,,
Storage,DEdr02_storage_a_caes,DEdr02_storage_a_caes,DEdr02_bus_el,,2.95,,,,,,0,,,,,,,,,
