class,label,source,target,conversion_factors,nominal_value,min,max,summed_max,actual_value,fixed_costs,variable_costs,fixed,nominal_capacity,capacity_loss,inflow_conversion_factor,outflow_conversion_factor,initial_capacity,capacity_min,capacity_max,balanced
Storage,DE_storage_lithium_ion,DE_bus_el,DE_storage_lithium_ion,,15650,,,,,,0,,"118812,42",0,"17,55","17,55","0,5",0,1,
Storage,DE_storage_pumped_hydro,DE_storage_pumped_hydro,DE_bus_el,,"12801,1914202305",,,,,,0,,,,,,,,,
Storage,DE_storage_pumped_hydro,DE_bus_el,DE_storage_pumped_hydro,,"12801,1914202305",,,,,,0,,127960,0,"8,94","8,94","0,5",0,1,
Storage,DE_storage_redox_flow,DE_storage_redox_flow,DE_bus_el,,930,,,,,,0,,,,,,,,,
Storage,DE_storage_redox_flow,DE_bus_el,DE_storage_redox_flow,,930,,,,,,0,,"3100,01",0,"15,588","15,588","0,5",0,1,
Sink,DE_load,DE_bus_el,DE_load,,"86232,1878781548",,,,seq,,,TRUE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### DK,,,,,,,,,,,,,,,,,,,,
Sink,DK_excess,DK_bus_el,DK_excess,,,,,,,,"0,00000001",,,,,,,,,
Source,DK_shortage,DK_shortage,DK_bus_el,,,,,,,,1000,,,,,,,,,
LinearTransformer,DK_pp_gas,DK_pp_gas,DK_bus_el,"0,425",1000,,,,,24000,"0,5",,,,,,,,,
LinearTransformer,DK_pp_gas,GL_bus_gas,DK_pp_gas,,,,,,,,,,,,,,,,,
LinearTransformer,DK_pp_biomass,DK_pp_biomass,DK_bus_el,"0,38",3750,,,1260,,29000,"3,9",,,,,,,,,
LinearTransformer,DK_pp_biomass,GL_bus_biomass,DK_pp_biomass,,,,,,,,,,,,,,,,,
Source,DK_run_of_river,DK_run_of_river,DK_bus_el,,13,,,,"0,65",,,TRUE,,,,,,,,
Source,DK_solar,DK_solar,DK_bus_el,,2038,,,,seq,,,TRUE,,,,,,,,
Source,DK_wind_onshore,DK_wind_onshore,DK_bus_el,,18708,,,,seq,,,TRUE,,,,,,,,
Source,DK_wind_offshore,DK_wind_offshore,DK_bus_el,,25600,,,,seq,,,TRUE,,,,,,,,
Storage,DK_storage_a_caes,DK_storage_a_caes,DK_bus_el,,210,,,,,,0,,,,,,,,,
Storage,DK_storage_a_caes,DK_bus_el,DK_storage_a_caes,,210,,,,,,0,,630,0,"0,837","0,837","0,5",0,1,
Storage,DK_storage_hydrogen,DK_storage_hydrogen,DK_bus_el,,4990,,,,,,0,,,,,,,,,
Storage,DK_storage_hydrogen,DK_bus_el,DK_storage_hydrogen,,4990,,,,,,0,,49900,0,"0,632","0,632","0,5",0,1,
Storage,DK_storage_lithium_ion,DK_storage_lithium_ion,DK_bus_el,,870,,,,,,0,,,,,,,,,
Storage,DK_storage_lithium_ion,DK_bus_el,DK_storage_lithium_ion,,870,,,,,,0,,4350,0,"0,975","0,975","0,5",0,1,
Storage,DK_storage_redox_flow,DK_storage_redox_flow,DK_bus_el,,60,,,,,,0,,,,,,,,,
Storage,DK_storage_redox_flow,DK_bus_el,DK_storage_redox_flow,,60,,,,,,0,,200,0,"0,866","0,866","0,5",0,1,
Sink,DK_load,DK_bus_el,DK_load,,7562,,,,seq,,,TRUE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### FR,,,,,,,,,,,,,,,,,,,,
Sink,FR_excess,FR_bus_el,FR_excess,,,,,,,,"0,00000001",,,,,,,,,
Source,FR_shortage,FR_shortage,FR_bus_el,,,,,,,,1000,,,,,,,,,
LinearTransformer,FR_pp_gas,FR_pp_gas,FR_bus_el,"0,425",16000,,,,,24000,"0,5",,,,,,,,,
LinearTransformer,FR_pp_gas,GL_bus_gas,FR_pp_gas,,,,,,,,,,,,,,,,,
LinearTransformer,FR_pp_biomass,FR_pp_biomass,FR_bus_el,"0,38",28250,,,2913,,29000,"3,9",,,,,,,,,
LinearTransformer,FR_pp_biomass,GL_bus_biomass,FR_pp_biomass,,,,,,,,,,,,,,,,,
Source,FR_run_of_river,FR_run_of_river,FR_bus_el,,10319,,,,"0,65",,,TRUE,,,,,,,,
Source,FR_hydro,FR_hydro,FR_bus_el,,18200,,,1838,,,,,,,,,,,,
Source,FR_solar,FR_solar,FR_bus_el,,103055,,,,seq,,,TRUE,,,,,,,,
Source,FR_wind_onshore,FR_wind_onshore,FR_bus_el,,124197,,,,seq,,,TRUE,,,,,,,,
Source,FR_geothermal,FR_geothermal,FR_bus_el,,2,,,,"0,95",,,TRUE,,,,,,,,
Storage,FR_storage_a_caes,FR_storage_a_caes,FR_bus_el,,250,,,,,,0,,,,,,,,,
Storage,FR_storage_a_caes,FR_bus_el,FR_storage_a_caes,,250,,,,,,0,,750,0,"0,837","0,837","0,5",0,1,
Storage,FR_storage_hydrogen,FR_storage_hydrogen,FR_bus_el,,25990,,,,,,0,,,,,,,,,
Storage,FR_storage_hydrogen,FR_bus_el,FR_storage_hydrogen,,25990,,,,,,0,,259900,0,"0,632","0,632","0,5",0,1,
Storage,FR_storage_lithium_ion,FR_storage_lithium_ion,FR_bus_el,,3420,,,,,,0,,,,,,,,,
Storage,FR_storage_lithium_ion,FR_bus_el,FR_storage_lithium_ion,,3420,,,,,,0,,17100,0,"0,975","0,975","0,5",0,1,
Storage,FR_storage_pumped_hydro,FR_storage_pumped_hydro,FR_bus_el,,13420,,,,,,0,,,,,,,,,
Storage,FR_storage_pumped_hydro,FR_bus_el,FR_storage_pumped_hydro,,13420,,,,,,0,,1184000,0,"0,894","0,894","0,5",0,1,
Storage,FR_storage_redox_flow,FR_storage_redox_flow,FR_bus_el,,60,,,,,,0,,,,,,,,,
Storage,FR_storage_redox_flow,FR_bus_el,FR_storage_redox_flow,,60,,,,,,0,,200,0,"0,866","0,866","0,5",0,1,
Sink,FR_load,FR_bus_el,FR_load,,130478,,,,seq,,,TRUE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### LU,,,,,,,,,,,,,,,,,,,,
Sink,LU_excess,LU_bus_el,LU_excess,,,,,,,,"0,00000001",,,,,,,,,
Source,LU_shortage,LU_shortage,LU_bus_el,,,,,,,,1000,,,,,,,,,
LinearTransformer,LU_pp_gas,LU_pp_gas,DE_bus_el,"0,425",250,,,,,24000,"0,5",,,,,,,,,
LinearTransformer,LU_pp_gas,GL_bus_gas,LU_pp_gas,,,,,,,,,,,,,,,,,
Source,LU_run_of_river,LU_run_of_river,DE_bus_el,,149,,,,"0,65",,,TRUE,,,,,,,,
Source,LU_solar,LU_solar,DE_bus_el,,1030,,,,seq,,,TRUE,,,,,,,,
Source,LU_wind_onshore,LU_wind_onshore,DE_bus_el,,739,,,,seq,,,TRUE,,,,,,,,
Storage,LU_storage_a_caes,LU_storage_a_caes,DE_bus_el,,"127,59",,,,,,0,,,,,,,,,
Storage,LU_storage_a_caes,DE_bus_el,LU_storage_a_caes,,"127,59",,,,,,0,,"382,77",0,"0,837","0,837","0,5",0,1,
Storage,LU_storage_hydrogen,LU_storage_hydrogen,DE_bus_el,,"570,76",,,,,,0,,,,,,,,,
Storage,LU_storage_hydrogen,DE_bus_el,LU_storage_hydrogen,,"570,76",,,,,,0,,"5707,59",0,"0,632","0,632","0,5",0,1,
Storage,LU_storage_lithium_ion,LU_storage_lithium_ion,DE_bus_el,,"100,25",,,,,,0,,,,,,,,,
Storage,LU_storage_lithium_ion,DE_bus_el,LU_storage_lithium_ion,,"100,25",,,,,,0,,"501,27",0,"0,975","0,975","0,5",0,1,
Storage,LU_storage_pumped_hydro,LU_storage_pumped_hydro,DE_bus_el,,1800,,,,,,0,,,,,,,,,
Storage,LU_storage_pumped_hydro,DE_bus_el,LU_storage_pumped_hydro,,1800,,,,,,0,,18000,0,"0,894","0,894","0,5",0,1,
Storage,LU_storage_redox_flow,LU_storage_redox_flow,DE_bus_el,,"3,42",,,,,,0,,,,,,,,,
Storage,LU_storage_redox_flow,DE_bus_el,LU_storage_redox_flow,,"3,42",,,,,,0,,"11,39",0,"0,866","0,866","0,5",0,1,
Sink,LU_load,DE_bus_el,LU_load,,1277,,,,seq,,,TRUE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### NL,,,,,,,,,,,,,,,,,,,,
Sink,NL_excess,NL_bus_el,NL_excess,,,,,,,,"0,00000001",,,,,,,,,
Source,NL_shortage,NL_shortage,NL_bus_el,,,,,,,,1000,,,,,,,,,
LinearTransformer,NL_pp_gas,NL_pp_gas,NL_bus_el,"0,425",3000,,,,,24000,"0,5",,,,,,,,,
LinearTransformer,NL_pp_gas,GL_bus_gas,NL_pp_gas,,,,,,,,,,,,,,,,,
LinearTransformer,NL_pp_biomass,NL_pp_biomass,NL_bus_el,"0,38",4000,,,1928,,29000,"3,9",,,,,,,,,
LinearTransformer,NL_pp_biomass,GL_bus_biomass,NL_pp_biomass,,,,,,,,,,,,,,,,,
Source,NL_run_of_river,NL_run_of_river,NL_bus_el,,104,,,,"0,65",,,TRUE,,,,,,,,
Source,NL_solar,NL_solar,NL_bus_el,,22247,,,,seq,,,TRUE,,,,,,,,
Source,NL_wind_onshore,NL_wind_onshore,NL_bus_el,,14997,,,,seq,,,TRUE,,,,,,,,
Source,NL_wind_offshore,NL_wind_offshore,NL_bus_el,,15900,,,,seq,,,TRUE,,,,,,,,
Storage,NL_storage_a_caes,NL_storage_a_caes,NL_bus_el,,"1708,35",,,,,,0,,,,,,,,,
Storage,NL_storage_a_caes,NL_bus_el,NL_storage_a_caes,,"1708,35",,,,,,0,,"5125,05",0,"0,837","0,837","0,5",0,1,
Storage,NL_storage_hydrogen,NL_storage_hydrogen,NL_bus_el,,"7641,84",,,,,,0,,,,,,,,,
Storage,NL_storage_hydrogen,NL_bus_el,NL_storage_hydrogen,,"7641,84",,,,,,0,,"76418,35",0,"0,632","0,632","0,5",0,1,
Storage,NL_storage_lithium_ion,NL_storage_lithium_ion,NL_bus_el,,"1342,28",,,,,,0,,,,,,,,,
Storage,NL_storage_lithium_ion,NL_bus_el,NL_storage_lithium_ion,,"1342,28",,,,,,0,,"6711,39",0,"0,975","0,975","0,5",0,1,
Storage,NL_storage_pumped_hydro,NL_storage_pumped_hydro,NL_bus_el,,104,,,,,,0,,,,,,,,,
